content_id,parent_category,category_name,brand_name,site,screen_location,company_name,date_approved,start_date,end_date,no_of_slots,ad_type
CAD-01210,,,,SM Megamall,All Locations,SM Megamall,06/30/2023 10:00,07/01/2023,07/05/2023,1,Full screen ad SP
CAD-01329,Food,Casual Dining,Manam,SM Megamall,All Locations,The Moment Group,06/30/2023 2:35,07/01/2023,07/01/2023,1,Full screen ad
